Network,TFactor,TPalier,Avg_Cost,Best_Cost,Time
A,0.95,150,1198.58,1198.58,1.1558950000000001
A,0.95,200,1202.26,1198.58,1.39418
A,0.95,250,1198.58,1198.58,1.666655
A,0.95,300,1201.6039999999998,1198.58,1.7789549999999998
A,0.99,150,1198.58,1198.58,4.14306
A,0.99,200,1198.58,1198.58,4.573615
A,0.99,250,1198.58,1198.58,6.250865
A,0.99,300,1198.58,1198.58,7.78435
A,0.995,150,1198.58,1198.58,7.342635
A,0.995,200,1198.58,1198.58,9.218485
A,0.995,250,1198.58,1198.58,12.38405
A,0.995,300,1198.58,1198.58,14.397675
B,0.95,150,2204.612,2187.31,2.0985500000000004
B,0.95,200,2203.852,2179.15,2.116355
B,0.95,250,2202.888,2181.47,2.515245
B,0.95,300,2189.006,2181.22,3.05283
B,0.99,150,2183.866,2180.27,5.726520000000001
B,0.99,200,2187.006,2181.83,6.29848
B,0.99,250,2184.528,2180.31,8.774005
B,0.99,300,2181.618,2179.32,9.515139999999999
B,0.995,150,2186.868,2176.94,10.83508
B,0.995,200,2180.5600000000004,2177.71,12.935405
B,0.995,250,2182.746,2180.44,15.540025
B,0.995,300,2179.634,2178.59,17.91046
C,0.95,150,3037.388,3033.38,4.027225
C,0.95,200,3036.0299999999997,3030.36,4.4086099999999995
C,0.95,250,3040.216,3027.72,5.35158
C,0.95,300,3035.4260000000004,3032.92,6.171555
C,0.99,150,3030.3920000000003,3027.3,12.07438
C,0.99,200,3029.7240000000006,3027.3,14.064165
C,0.99,250,3031.424,3027.48,17.011139999999997
C,0.99,300,3030.2580000000007,3027.3,19.799565
C,0.995,150,3031.226,3027.3,21.21949
C,0.995,200,3029.19,3027.3,23.946440000000003
C,0.995,250,3028.346,3027.3,31.659844999999997
C,0.995,300,3028.3740000000003,3027.3,37.267685
